Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 97.05     77.39    77.39        2    38.70    38.75  landscape::reproduce(unsigned int)
  1.49     78.58     1.19                             std::random_device::_M_init_pretr1(std::string const&)
  0.61     79.07     0.49                             std::mersenne_twister_engine<unsigned int, 32ull, 624ull, 397ull, 31ull, 2567483615u, 11ull, 4294967295u, 7ull, 2636928640u, 15ull, 4022730752u, 18ull, 1812433253u>::_M_gen_rand()
  0.29     79.30     0.23                             exp
  0.16     79.43     0.13                             ___chkstk_ms
  0.06     79.48     0.05   131072     0.00     0.00  multiNom::multinomialDraw(double*, int)
  0.06     79.53     0.05                             __fentry__
  0.06     79.58     0.05                             _mcount_private
  0.04     79.61     0.03                             __logl_internal
  0.03     79.63     0.02  1048600     0.00     0.00  std::__detail::_Mod<unsigned int, 2147483647u, 16807u, 0u, false, true>::__calc(unsigned int)
  0.03     79.65     0.02   524300     0.00     0.00  double std::generate_canonical<double, 53ull, std::linear_congruential_engine<unsigned int, 16807u, 0u, 2147483647u> >(std::linear_congruential_engine<unsigned int, 16807u, 0u, 2147483647u>&)
  0.03     79.67     0.02                             __quorem_D2A
  0.01     79.68     0.01  1048600     0.00     0.00  unsigned int std::__detail::__mod<unsigned int, 2147483647u, 16807u, 0u>(unsigned int)
  0.01     79.69     0.01   524303     0.00     0.00  unsigned long long const& std::max<unsigned long long>(unsigned long long const&, unsigned long long const&)
  0.01     79.70     0.01   327686     0.00     0.00  species::updateMean()
  0.01     79.71     0.01                             std::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.01     79.72     0.01                             std::__num_base::_S_format_float(std::ios_base const&, char*, char)
  0.01     79.73     0.01                             __Bfree_D2A
  0.01     79.74     0.01                             __fu1__get_output_format
  0.00     79.74     0.00  1572900     0.00     0.00  std::linear_congruential_engine<unsigned int, 16807u, 0u, 2147483647u>::min()
  0.00     79.74     0.00  1572876     0.00     0.00  std::__detail::_Mod<unsigned int, 2147483647u, 1u, 0u, true, true>::__calc(unsigned int)
  0.00     79.74     0.00  1572876     0.00     0.00  unsigned int std::__detail::__mod<unsigned int, 2147483647u, 1u, 0u>(unsigned int)
  0.00     79.74     0.00  1048600     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00     79.74     0.00  1048600     0.00     0.00  std::linear_congruential_engine<unsigned int, 16807u, 0u, 2147483647u>::operator()()
